swell, cycles, density
0.00357, -1, 0.01000
0.00367, -1, 0.01057
0.00377, -1, 0.01115
0.00387, -1, 0.01175
0.00397, -1, 0.01237
0.00407, -1, 0.01300
0.00417, -1, 0.01365
0.00427, -1, 0.01431
0.00437, -1, 0.01499
0.00447, -1, 0.01568
0.00457, -1, 0.01639
0.00467, -1, 0.01712
0.00477, -1, 0.01786
0.00487, -1, 0.01861
0.00497, -1, 0.01939
0.00507, -1, 0.02017
0.00517, -1, 0.02098
0.00527, -1, 0.02180
0.00537, -1, 0.02263
0.00547, -1, 0.02348
0.00557, -1, 0.02435
0.00567, -1, 0.02523
0.00577, -1, 0.02613
0.00587, -1, 0.02705
0.00597, -1, 0.02798
0.00607, -1, 0.02892
0.00617, -1, 0.02988
0.00627, -1, 0.03086
0.00637, -1, 0.03185
0.00647, -1, 0.03286
0.00657, -1, 0.03388
0.00667, -1, 0.03492
0.00677, -1, 0.03598
0.00687, -1, 0.03705
0.00697, -1, 0.03814
0.00707, -1, 0.03924
0.00717, -1, 0.04036
0.00727, -1, 0.04149
0.00737, -1, 0.04264
0.00747, -1, 0.04381
0.00757, -1, 0.04499
0.00767, -1, 0.04618
0.00777, -1, 0.04740
0.00787, -1, 0.04862
0.00797, -1, 0.04987
0.00807, 5, 0.05113
0.00817, -1, 0.05240
0.00827, -1, 0.05369
0.00837, -1, 0.05500
0.00847, 4, 0.05632
0.00857, 8, 0.05766
0.00867, 14, 0.05901
0.00877, -1, 0.06038
0.00887, 13, 0.06177
0.00897, 11, 0.06317
0.00907, 5, 0.06459
0.00917, -1, 0.06602
0.00927, -1, 0.06747
0.00937, 5, 0.06893
0.00947, -1, 0.07041
0.00957, 6, 0.07190
0.00967, 9, 0.07342
0.00977, 6, 0.07494
0.00987, 5, 0.07648
0.00997, 13, 0.07804
0.01007, 16, 0.07962
0.01017, 9, 0.08120
0.01027, -1, 0.08281
0.01037, 4, 0.08443
0.01047, 14, 0.08607
0.01057, 5, 0.08772
0.01067, 13, 0.08939
0.01077, 5, 0.09107
0.01087, -1, 0.09277
0.01097, 10, 0.09449
0.01107, -1, 0.09622
0.01117, 10, 0.09796
0.01127, 8, 0.09972
0.01137, -1, 0.10150
0.01147, 4, 0.10330
0.01157, -1, 0.10511
0.01167, -1, 0.10693
0.01177, 8, 0.10877
0.01187, -1, 0.11063
0.01197, 10, 0.11250
0.01207, 6, 0.11439
0.01217, 8, 0.11629
0.01227, -1, 0.11821
0.01237, 6, 0.12015
0.01247, 2, 0.12210
0.01257, 9, 0.12406
0.01267, 15, 0.12604
0.01277, 13, 0.12804
0.01287, 11, 0.13006
0.01297, 5, 0.13208
0.01307, 9, 0.13413
0.01317, 2, 0.13619
0.01327, 2, 0.13827
0.01337, 5, 0.14036
0.01347, 10, 0.14247
0.01357, -1, 0.14459
0.01367, 12, 0.14673
0.01377, -1, 0.14888
0.01387, 5, 0.15105
0.01397, 10, 0.15324
0.01407, 6, 0.15544
0.01417, 8, 0.15766
0.01427, 15, 0.15989
0.01437, 9, 0.16214
0.01447, 6, 0.16441
0.01457, 6, 0.16669
0.01467, 12, 0.16898
0.01477, 6, 0.17130
0.01487, 4, 0.17362
0.01497, 10, 0.17597
0.01507, 10, 0.17833
0.01517, -1, 0.18070
0.01527, 11, 0.18309
0.01537, 5, 0.18550
0.01547, 8, 0.18792
0.01557, 11, 0.19036
0.01567, 5, 0.19281
0.01577, 5, 0.19528
0.01587, 16, 0.19776
0.01597, 11, 0.20026
0.01607, 9, 0.20278
0.01617, 14, 0.20531
0.01627, 9, 0.20786
0.01637, 10, 0.21042
0.01647, 7, 0.21300
0.01657, 2, 0.21560
0.01667, 7, 0.21821
0.01677, 8, 0.22083
0.01687, 4, 0.22348
0.01697, 6, 0.22613
0.01707, -1, 0.22881
0.01717, 11, 0.23150
0.01727, 13, 0.23420
0.01737, 6, 0.23692
0.01747, 10, 0.23966
0.01757, 7, 0.24241
0.01767, 11, 0.24518
0.01777, 6, 0.24796
0.01787, 9, 0.25076
0.01797, 10, 0.25357
0.01807, 11, 0.25640
0.01817, 5, 0.25925
0.01827, 10, 0.26211
0.01837, 10, 0.26499
0.01847, 13, 0.26788
0.01857, 6, 0.27079
0.01867, 13, 0.27371
0.01877, 10, 0.27665
0.01887, 7, 0.27961
0.01897, 9, 0.28258
0.01907, 8, 0.28557
0.01917, 17, 0.28857
0.01927, 3, 0.29159
0.01937, 14, 0.29463
0.01947, 10, 0.29768
0.01957, 14, 0.30074
0.01967, 10, 0.30382
0.01977, 6, 0.30692
0.01987, 7, 0.31003
0.01997, 14, 0.31316
0.02007, 8, 0.31631
0.02017, 8, 0.31947
0.02027, 6, 0.32264
0.02037, 16, 0.32583
0.02047, 13, 0.32904
0.02057, 13, 0.33226
0.02067, 10, 0.33550
0.02077, 20, 0.33876
0.02087, 14, 0.34203
0.02097, 9, 0.34531
0.02107, 7, 0.34862
0.02117, 11, 0.35193
0.02127, 4, 0.35527
0.02137, 9, 0.35861
0.02147, 11, 0.36198
0.02157, 12, 0.36536
0.02167, 8, 0.36875
0.02177, 7, 0.37217
0.02187, 17, 0.37559
0.02197, 13, 0.37904
0.02207, 16, 0.38249
0.02217, 13, 0.38597
0.02227, 16, 0.38946
0.02237, 15, 0.39296
0.02247, 9, 0.39649
0.02257, 9, 0.40002
0.02267, 14, 0.40358
0.02277, 12, 0.40715
0.02287, 16, 0.41073
0.02297, 6, 0.41433
0.02307, 13, 0.41794
0.02317, 8, 0.42158
0.02327, 23, 0.42522
0.02337, 13, 0.42889
0.02347, 10, 0.43256
0.02357, 16, 0.43626
0.02367, 17, 0.43997
0.02377, 15, 0.44369
0.02387, 25, 0.44744
0.02397, 21, 0.45119
0.02407, 16, 0.45497
0.02417, 7, 0.45875
0.02427, 20, 0.46256
0.02437, 11, 0.46638
0.02447, 11, 0.47021
0.02457, 18, 0.47407
0.02467, 14, 0.47793
0.02477, 17, 0.48182
0.02487, 12, 0.48571
0.02497, 16, 0.48963
0.02507, 22, 0.49356
0.02517, 21, 0.49750
0.02527, 26, 0.50146
0.02537, 18, 0.50544
0.02547, 13, 0.50943
0.02557, 13, 0.51344
0.02567, 10, 0.51747
0.02577, 18, 0.52151
0.02587, 23, 0.52556
0.02597, 17, 0.52963
0.02607, 17, 0.53372
0.02617, 24, 0.53782
0.02627, 15, 0.54194
0.02637, 28, 0.54608
0.02647, 14, 0.55022
0.02657, 15, 0.55439
0.02667, 17, 0.55857
0.02677, 19, 0.56277
0.02687, 19, 0.56698
0.02697, 26, 0.57121
0.02707, 19, 0.57545
0.02717, 27, 0.57971
0.02727, 20, 0.58399
0.02737, 17, 0.58828
0.02747, 19, 0.59259
0.02757, 21, 0.59691
0.02767, 13, 0.60125
0.02777, 19, 0.60560
0.02787, 26, 0.60997
0.02797, 24, 0.61436
0.02807, 23, 0.61876
0.02817, 14, 0.62317
0.02827, 21, 0.62761
0.02837, 21, 0.63206
0.02847, 31, 0.63652
0.02857, 15, 0.64100
0.02867, 27, 0.64549
0.02877, 20, 0.65001
0.02887, 22, 0.65453
0.02897, 36, 0.65907
0.02907, 24, 0.66363
0.02917, 25, 0.66821
0.02927, 29, 0.67280
0.02937, 31, 0.67740
0.02947, 26, 0.68202
0.02957, 21, 0.68666
0.02967, 15, 0.69131
0.02977, 25, 0.69598
0.02987, 37, 0.70066
0.02997, 48, 0.70536
0.03007, 31, 0.71008
0.03017, 37, 0.71481
0.03027, 38, 0.71956
0.03037, 50, 0.72432
0.03047, 34, 0.72910
0.03057, 40, 0.73389
0.03067, 22, 0.73870
0.03077, 31, 0.74352
0.03087, 30, 0.74837
0.03097, 35, 0.75322
0.03107, 49, 0.75809
0.03117, 58, 0.76298
0.03127, 44, 0.76789
0.03137, 29, 0.77281
0.03147, 34, 0.77774
0.03157, 58, 0.78269
0.03167, 40, 0.78766
0.03177, 80, 0.79264
0.03187, 44, 0.79764
0.03197, 28, 0.80265
0.03207, 45, 0.80768
0.03217, 49, 0.81273
0.03227, 30, 0.81779
0.03237, 46, 0.82286
0.03247, 83, 0.82796
0.03257, 39, 0.83306
0.03267, 56, 0.83819
0.03277, 81, 0.84333
0.03287, 46, 0.84848
0.03297, 57, 0.85365
0.03307, 76, 0.85884
0.03317, 41, 0.86404
0.03327, 201, 0.86926
0.03337, 59, 0.87449
0.03347, 142, 0.87974
0.03357, 85, 0.88501
0.03367, 78, 0.89029
0.03377, 78, 0.89559
0.03387, -1, 0.90090
